,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct
0,380017,Columbia Greenmarket,2018-09-02T08:00:00+00:00,2018-09-02T17:00:00+00:00,Street Activity Permit Office,Farmers Market,Manhattan,BROADWAY between WEST 114 STREET and WEST 116 STREET,East,Sidewalk and Curb Lane Closure,9,26
1,380017,Columbia Greenmarket,2018-09-06T08:00:00+00:00,2018-09-06T17:00:00+00:00,Street Activity Permit Office,Farmers Market,Manhattan,BROADWAY between WEST 114 STREET and WEST 116 STREET,East,Sidewalk and Curb Lane Closure,9,26
2,380017,Columbia Greenmarket,2018-09-09T08:00:00+00:00,2018-09-09T17:00:00+00:00,Street Activity Permit Office,Farmers Market,Manhattan,BROADWAY between WEST 114 STREET and WEST 116 STREET,East,Sidewalk and Curb Lane Closure,9,26
3,380504,St. Anthony Flea Market,2018-01-05T09:00:00+00:00,2018-12-16T18:00:00+00:00,Street Activity Permit Office,Sidewalk Sale,Manhattan,WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET,South,Sidewalk and Curb Lane Closure,2,"1, 6"
4,380861,2018 NO AMPLIFIED SOUND,2018-08-18T08:00:00+00:00,2018-08-18T20:00:00+00:00,Parks Department,Special Event,Manhattan,Tompkins Square Park: Old Bandshell,,,3,9
5,380861,2018 NO AMPLIFIED SOUND,2018-08-19T08:00:00+00:00,2018-08-19T20:00:00+00:00,Parks Department,Special Event,Manhattan,Tompkins Square Park: Old Bandshell,,,3,9
6,380861,2018 NO AMPLIFIED SOUND,2018-09-01T08:00:00+00:00,2018-09-01T20:00:00+00:00,Parks Department,Special Event,Manhattan,Tompkins Square Park: Old Bandshell,,,3,9
7,380861,2018 NO AMPLIFIED SOUND,2018-09-02T08:00:00+00:00,2018-09-02T20:00:00+00:00,Parks Department,Special Event,Manhattan,Tompkins Square Park: Old Bandshell,,,3,9
8,380902,Giglio Feast of Sant Antonio,2018-08-09T18:00:00+00:00,2018-08-12T22:00:00+00:00,Street Activity Permit Office,Street Festival,Manhattan,PLEASANT AVENUE between EAST 114 STREET and EAST 116 STREET,Full,Full Street Closure,11,"23, 25"
9,380923,2018 NO AMPLIFIED SOUND,2018-08-11T08:00:00+00:00,2018-08-11T20:00:00+00:00,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Bandshell,,,10,30
